지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd)
90,속초,2022-11,11,16,6.3,22.3,-4.6,20221112,20221130,7.5,17.5,0.8,20221113,20221130,1.2,55,10,20221126,38.4,9.8,0,0,20221128,20221111,20221111
90,속초,2022-12,-0.2,4.1,-4.4,11.6,-12.5,20221208,20221223,2.2,6,0.6,20221209,20221219,-14.6,35,11,20221202,0.7,0.7,,,20221213,,
90,속초,2023-01,0.2,4.6,-4.3,15.1,-16,20230112,20230125,3,9.5,0.6,20230113,20230125,-11.8,45,9,20230103,94.7,47.7,,,20230115,,
90,속초,2023-02,2.7,6.6,-1.6,15.6,-6.4,20230227,20230202,3.8,7.3,1.3,20230212,20230220,-7.2,53,9,20230228,43.4,26,,,20230213,,
90,속초,2023-03,9.3,13.4,4.6,25.4,-1.7,20230330,20230313,6.2,12.3,1.4,20230331,20230313,-1,54,9,20230330,10.1,6.3,,,20230312,,
90,속초,2023-04,12.6,17.4,8,26.9,4,20230420,20230417,8.6,15.8,1.3,20230411,20230412,3.6,61,8,20230412,57,28,5.4,2.7,20230405,20230405,20230411
90,속초,2023-05,17,21.8,12.6,34.4,5.5,20230516,20230508,12.5,20.1,4.9,20230529,20230509,9.7,67,12,20230509,81,48.4,6,2.7,20230506,20230506,20230518
90,속초,2023-06,21.9,26.2,17.9,34.3,13.3,20230628,20230603,18.9,26,8.5,20230629,20230603,16.4,74,21,20230604,200.1,38.2,14.6,6.7,20230621,20230621,20230613
90,속초,2023-07,25.8,30,22.8,35.1,19.6,20230730,20230708,25.7,31.5,13.5,20230714,20230706,21.4,79,27,20230707,108.2,29.4,27,18.9,20230709,20230709,20230709
90,속초,2023-08,24.7,28,22.2,36.6,19.1,20230804,20230831,26.1,33.2,20.2,20230802,20230831,21.7,85,36,20230803,669.6,368.7,91.3,16.8,20230810,20230810,20230810
93,북춘천,2016-10,14.1,20.9,8.6,29,-1.9,20161003,20161030,12,22.1,2.6,20161003,20161030,9,74,16,20161030,112.1,39,20.5,8.5,20161003,20161003,20161003
93,북춘천,2016-11,5.1,11.2,-0.5,19.5,-9.1,20161119,20161124,6.5,13.5,1.6,20161114,20161124,-0.3,71,15,20161120,13.2,5.5,,,20161110,,
93,북춘천,2016-12,-0.2,5.3,-5,10.2,-12.1,20161205,20161216,4.5,9.5,1.5,20161222,20161216,-4.9,74,18,20161201,83.1,49,,,20161222,,
93,북춘천,2017-01,-3.4,3.3,-9.8,11.6,-17,20170108,20170124,3.3,7.6,0.9,20170109,20170114,-9.7,66,15,20170110,15.9,7.1,,,20170127,,
93,북춘천,2017-02,-1.5,5.4,-8.2,12.2,-15.7,20170228,20170202,3.4,9.6,1.4,20170217,20170202,-8.4,64,16,20170217,11,3.5,,,20170222,,
93,북춘천,2017-03,4.6,12.2,-2.3,19,-8.3,20170319,20170308,4.8,8.9,1.2,20170331,20170307,-4.1,59,14,20170319,17.9,11.5,,,20170331,,
93,북춘천,2017-04,13.2,21,5.6,29.1,-0.8,20170430,20170403,7.6,13.7,2,20170409,20170412,2.3,55,9,20170410,54.1,21,5,1.5,20170405,20170405,20170418
